time_zone,country
Midway,United States
Niue,Niue
Pago Pago,American Samoa
Adak,United States
Honolulu,United States
Rarotonga,Cook Islands
Tahiti,French Polynesia
Marquesas,French Polynesia
Anchorage,United States
Juneau,United States
Metlakatla,United States
Nome,United States
Sitka,United States
Yakutat,United States
Gambier,French Polynesia
Los Angeles,United States
Tijuana,Mexico
Vancouver,Canada
Pitcairn,Pitcairn
Boise,United States
Cambridge Bay,Canada
Chihuahua,Mexico
Creston,Canada
Dawson,Canada
Dawson Creek,Canada
Denver,United States
Edmonton,Canada
Fort Nelson,Canada
Hermosillo,Mexico
Inuvik,Canada
Mazatlan,Mexico
Ojinaga,Mexico
Phoenix,United States
Whitehorse,Canada
Yellowknife,Canada
Bahia Banderas,Mexico
Belize,Belize
Chicago,United States
Costa Rica,Costa Rica
El Salvador,El Salvador
Guatemala,Guatemala
Knox,United States
Tell City,United States
Managua,Nicaragua
Matamoros,Mexico
Menominee,United States
Merida,Mexico
Mexico City,Mexico
Monterrey,Mexico
Beulah,United States
Center,United States
New Salem,United States
Rainy River,Canada
Rankin Inlet,Canada
Regina,Canada
Resolute,Canada
Swift Current,Canada
Tegucigalpa,Honduras
Winnipeg,Canada
Easter,Chile
Galapagos,Ecuador
Atikokan,Canada
Bogota,Colombia
Cancun,Mexico
Cayman,Cayman Islands
Detroit,United States
Eirunepe,Brazil
Grand Turk,Turks and Caicos Islands
Guayaquil,Ecuador
Havana,Cuba
Indianapolis,United States
Marengo,United States
Petersburg,United States
Vevay,United States
Vincennes,United States
Winamac,United States
Iqaluit,Canada
Jamaica,Jamaica
Louisville,United States
Monticello,United States
Lima,Peru
Nassau,Bahamas
New York,United States
Nipigon,Canada
Panama,Panama
Pangnirtung,Canada
Port-au-Prince,Haiti
Rio Branco,Brazil
Thunder Bay,Canada
Toronto,Canada
Anguilla,Anguilla
Antigua,Antigua and Barbuda
Aruba,Aruba
Asuncion,Paraguay
Barbados,Barbados
Blanc-Sablon,Canada
Boa Vista,Brazil
Campo Grande,Brazil
Caracas,Venezuela
Cuiaba,Brazil
Curacao,Curacao
Dominica,Dominica
Glace Bay,Canada
Goose Bay,Canada
Grenada,Grenada
Guadeloupe,Guadeloupe
Guyana,Guyana
Halifax,Canada
Kralendijk,"Bonaire, Saint Eustatius and Saba"
La Paz,Bolivia
Lower Princes,Sint Maarten
Manaus,Brazil
Marigot,Saint Martin
Martinique,Martinique
Moncton,Canada
Montserrat,Montserrat
Porto Velho,Brazil
Port of Spain,Trinidad and Tobago
Puerto Rico,Puerto Rico
Santiago,Chile
Santo Domingo,Dominican Republic
St Barthelemy,Saint Barthelemy
St Kitts,Saint Kitts and Nevis
St Lucia,Saint Lucia
St Thomas,U.S. Virgin Islands
St Vincent,Saint Vincent and the Grenadines
Thule,Greenland
Tortola,British Virgin Islands
Bermuda,Bermuda
St Johns,Canada
Araguaina,Brazil
Buenos Aires,Argentina
Catamarca,Argentina
Cordoba,Argentina
Jujuy,Argentina
La Rioja,Argentina
Mendoza,Argentina
Rio Gallegos,Argentina
Salta,Argentina
San Juan,Argentina
San Luis,Argentina
Tucuman,Argentina
Ushuaia,Argentina
Bahia,Brazil
Belem,Brazil
Cayenne,French Guiana
Fortaleza,Brazil
Godthab,Greenland
Maceio,Brazil
Miquelon,Saint Pierre and Miquelon
Montevideo,Uruguay
Paramaribo,Suriname
Punta Arenas,Chile
Recife,Brazil
Santarem,Brazil
Sao Paulo,Brazil
Palmer,Antarctica
Rothera,Antarctica
Stanley,Falkland Islands
Noronha,Brazil
South Georgia,South Georgia and the South Sandwich Islands
Scoresbysund,Greenland
Azores,Portugal
Cape Verde,Cabo Verde
Abidjan,Ivory Coast
Accra,Ghana
Bamako,Mali
Banjul,Gambia
Bissau,Guinea-Bissau
Casablanca,Morocco
Conakry,Guinea
Dakar,Senegal
El Aaiun,Western Sahara
Freetown,Sierra Leone
Lome,Togo
Monrovia,Liberia
Nouakchott,Mauritania
Ouagadougou,Burkina Faso
Sao Tome,Sao Tome and Principe
Danmarkshavn,Greenland
Troll,Antarctica
Canary,Spain
Faroe,Faroe Islands
Madeira,Portugal
Reykjavik,Iceland
St Helena,Saint Helena
Dublin,Ireland
Guernsey,Guernsey
Isle of Man,Isle of Man
Jersey,Jersey
Lisbon,Portugal
London,United Kingdom
Algiers,Algeria
Bangui,Central African Republic
Brazzaville,Republic of the Congo
Ceuta,Spain
Douala,Cameroon
Kinshasa,Democratic Republic of the Congo
Lagos,Nigeria
Libreville,Gabon
Luanda,Angola
Malabo,Equatorial Guinea
Ndjamena,Chad
Niamey,Niger
Porto-Novo,Benin
Tunis,Tunisia
Windhoek,Namibia
Longyearbyen,Svalbard and Jan Mayen
Amsterdam,Netherlands
Andorra,Andorra
Belgrade,Serbia
Berlin,Germany
Bratislava,Slovakia
Brussels,Belgium
Budapest,Hungary
Copenhagen,Denmark
Gibraltar,Gibraltar
Ljubljana,Slovenia
Luxembourg,Luxembourg
Madrid,Spain
Malta,Malta
Monaco,Monaco
Oslo,Norway
Paris,France
Podgorica,Montenegro
Prague,Czechia
Rome,Italy
San Marino,San Marino
Sarajevo,Bosnia and Herzegovina
Skopje,North Macedonia
Stockholm,Sweden
Tirane,Albania
Vaduz,Liechtenstein
Vatican,Vatican
Vienna,Austria
Warsaw,Poland
Zagreb,Croatia
Zurich,Switzerland
Blantyre,Malawi
Bujumbura,Burundi
Cairo,Egypt
Gaborone,Botswana
Harare,Zimbabwe
Johannesburg,South Africa
Juba,South Sudan
Khartoum,Sudan
Kigali,Rwanda
Lubumbashi,Democratic Republic of the Congo
Lusaka,Zambia
Maputo,Mozambique
Maseru,Lesotho
Mbabane,Eswatini
Tripoli,Libya
Amman,Jordan
Beirut,Lebanon
Damascus,Syria
Famagusta,Cyprus
Gaza,Palestinian Territory
Hebron,Palestinian Territory
Jerusalem,Israel
Nicosia,Cyprus
Athens,Greece
Bucharest,Romania
Chisinau,Moldova
Helsinki,Finland
Kaliningrad,Russia
Kiev,Ukraine
Mariehamn,Aland Islands
Riga,Latvia
Sofia,Bulgaria
Tallinn,Estonia
Uzhgorod,Ukraine
Vilnius,Lithuania
Zaporozhye,Ukraine
Addis Ababa,Ethiopia
Asmara,Eritrea
Dar es Salaam,Tanzania
Djibouti,Djibouti
Kampala,Uganda
Mogadishu,Somalia
Nairobi,Kenya
Syowa,Antarctica
Aden,Yemen
Baghdad,Iraq
Bahrain,Bahrain
Kuwait,Kuwait
Qatar,Qatar
Riyadh,Saudi Arabia
Istanbul,Turkey
Kirov,Russia
Minsk,Belarus
Moscow,Russia
Simferopol,Russia
Volgograd,Russia
Antananarivo,Madagascar
Comoro,Comoros
Mayotte,Mayotte
Tehran,Iran
Baku,Azerbaijan
Dubai,United Arab Emirates
Muscat,Oman
Tbilisi,Georgia
Yerevan,Armenia
Astrakhan,Russia
Samara,Russia
Saratov,Russia
Ulyanovsk,Russia
Mahe,Seychelles
Mauritius,Mauritius
Reunion,Reunion
Kabul,Afghanistan
Mawson,Antarctica
Aqtau,Kazakhstan
Aqtobe,Kazakhstan
Ashgabat,Turkmenistan
Atyrau,Kazakhstan
Dushanbe,Tajikistan
Karachi,Pakistan
Oral,Kazakhstan
Qyzylorda,Kazakhstan
Samarkand,Uzbekistan
Tashkent,Uzbekistan
Yekaterinburg,Russia
Kerguelen,French Southern Territories
Maldives,Maldives
Colombo,Sri Lanka
Kolkata,India
Kathmandu,Nepal
Vostok,Antarctica
Almaty,Kazakhstan
Bishkek,Kyrgyzstan
Dhaka,Bangladesh
Omsk,Russia
Qostanay,Kazakhstan
Thimphu,Bhutan
Urumqi,China
Chagos,British Indian Ocean Territory
Yangon,Myanmar
Cocos,Cocos Islands
Davis,Antarctica
Bangkok,Thailand
Barnaul,Russia
Hovd,Mongolia
Ho Chi Minh,Vietnam
Jakarta,Indonesia
Krasnoyarsk,Russia
Novokuznetsk,Russia
Novosibirsk,Russia
Phnom Penh,Cambodia
Pontianak,Indonesia
Tomsk,Russia
Vientiane,Laos
Christmas,Christmas Island
Brunei,Brunei
Choibalsan,Mongolia
Hong Kong,Hong Kong
Irkutsk,Russia
Kuala Lumpur,Malaysia
Kuching,Malaysia
Macau,Macao
Makassar,Indonesia
Manila,Philippines
Shanghai,China
Singapore,Singapore
Taipei,Taiwan
Ulaanbaatar,Mongolia
Perth,Australia
Eucla,Australia
Chita,Russia
Dili,Timor Leste
Jayapura,Indonesia
Khandyga,Russia
Pyongyang,North Korea
Seoul,South Korea
Tokyo,Japan
Yakutsk,Russia
Palau,Palau
Adelaide,Australia
Broken Hill,Australia
Darwin,Australia
DumontDUrville,Antarctica
Macquarie,Australia
Ust-Nera,Russia
Vladivostok,Russia
Brisbane,Australia
Currie,Australia
Hobart,Australia
Lindeman,Australia
Melbourne,Australia
Sydney,Australia
Chuuk,Micronesia
Guam,Guam
Port Moresby,Papua New Guinea
Saipan,Northern Mariana Islands
Lord Howe,Australia
Casey,Antarctica
Magadan,Russia
Sakhalin,Russia
Srednekolymsk,Russia
Bougainville,Papua New Guinea
Efate,Vanuatu
Guadalcanal,Solomon Islands
Kosrae,Micronesia
Norfolk,Norfolk Island
Noumea,New Caledonia
Pohnpei,Micronesia
McMurdo,Antarctica
Anadyr,Russia
Kamchatka,Russia
Auckland,New Zealand
Fiji,Fiji
Funafuti,Tuvalu
Kwajalein,Marshall Islands
Majuro,Marshall Islands
Nauru,Nauru
Tarawa,Kiribati
Wake,United States Minor Outlying Islands
Wallis,Wallis and Futuna
Chatham,New Zealand
Apia,Samoa
Enderbury,Kiribati
Fakaofo,Tokelau
Tongatapu,Tonga
Kiritimati,Kiribati
Brasilia,Brazil
Pacific Time (US & Canada),United States or Canada
Central Time (US & Canada),United States or Canada
Mountain Time (US & Canada),United States or Canada
Eastern Time (US & Canada),United States or Canada
